model,cv_MSE_mean,cv_MSE_std,cv_RMSE_mean,cv_RMSE_std,cv_MAE_mean,cv_MAE_std,cv_R2_mean,cv_R2_std,holdout_MSE,holdout_RMSE,holdout_MAE,holdout_R2
RandomForest,927658920.0002788,271997969.5272536,30150.907045676653,4310.652424314055,18208.608207916073,1008.3979863659712,0.8454408024962607,0.036372965340676175,777177385.3648534,27877.90138021249,17494.154315068496,0.8986774011466898
LinearRegression,1101216033.3143039,318564520.9143313,32814.425723259905,4942.620536412058,18968.583815345315,785.4830072810779,0.8129019426581612,0.06171627797317687,847911110.2523868,29118.913273891023,18764.35023236356,0.8894556649418781
